GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000299,148,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,1,0,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,35,253,1,1,20210130,CHA,MIL
Shot Chart Detail,0022000299,304,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,1,26,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,57,1,1,20210130,CHA,MIL
Shot Chart Detail,0022000316,239,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,6,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,20,200,1,1,20210201,MIL,POR
Shot Chart Detail,0022000316,259,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,5,29,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-59,245,1,1,20210201,MIL,POR
Shot Chart Detail,0022000316,271,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,4,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,15,1,1,20210201,MIL,POR
Shot Chart Detail,0022000316,527,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,8,53,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,149,101,1,1,20210201,MIL,POR
Shot Chart Detail,0022000316,623,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,4,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,147,233,1,1,20210201,MIL,POR
Shot Chart Detail,0022000329,199,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,8,41,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,207,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,222,1,1,20210203,MIL,IND
Shot Chart Detail,0022000329,254,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,4,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,46,1,1,20210203,MIL,IND
